Filename;ActivityName;Location;ReferenceProduct
17037_1cae8b02-51af-49ce-9a19-f91c8e7f5408_49719318-578e-40fe-b359-0780c8df9221.spold;market for cattle for slaughtering, live weight;GLO;cattle for slaughtering, live weight
17038_b3ad3649-e8e6-439c-96d5-4df9aefb8b3f_1f7bbd3e-fcd1-412d-8608-035b855ea735.spold;orange production, fresh grade;ZA;orange, fresh grade
17039_6569fe40-0845-4c9e-b666-4c134b3491c6_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;BR;irrigation
17040_c105c1c8-d366-4a38-a218-507244fa3da3_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;CA-QC;irrigation
17041_870a7df5-61f5-450b-a983-baf22b710cad_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;CH;irrigation
17042_a199da2b-f227-4b7a-bf7b-cac3f81cb2ef_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;CN;irrigation
17043_c50292a4-d6aa-46a7-834b-f3253293adf0_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;IN;irrigation
17044_49eccbda-96ba-4999-ac9f-f0446769164b_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;MY;irrigation
17045_69abc16b-8cd1-4d38-a5ad-43dc8d7caf61_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;PH;irrigation
17046_124e1cd3-1fbf-4821-882d-b5a581b97ebc_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;TN;irrigation
17047_a5af4bf4-0bac-472f-ae36-383aae0b92af_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation;US;irrigation
17048_e68a6604-4bb5-495b-b785-c868f91131c1_6ab2abde-801d-45a3-8ea3-455d0f01c3f4.spold;water production and supply, decarbonised;RER;water, decarbonised, at user
17049_df789cb0-bea8-4970-9a83-2010299d7242_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;BR;irrigation
17050_b47e79b5-2a74-4336-92b6-071ebe4a605c_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;CA-QC;irrigation
17051_d73c3f4f-50bf-4cc0-bb53-594b94d780af_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;DE;irrigation
17052_944ac237-001e-421a-b573-a1ad878d4ca1_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;ES;irrigation
17053_7dbf168d-79dd-42e0-b041-4603a6aab470_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;CN;irrigation
17054_e831da5d-8574-4beb-8fd2-2299406188b3_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;MY;irrigation
17055_e0760364-0ead-44ea-89b8-88c9cb2411e2_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;FR;irrigation
17056_e441d8f1-c207-432d-b44a-a0b966c2f12e_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;IN;irrigation
17057_7c3d83d1-c14e-4383-aec7-af3e08e43a3d_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;CH;irrigation
17058_41fc91c2-27e4-4484-975f-60b5c902f981_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;US;irrigation
17059_9b2b39fa-a567-4121-a9c9-89fd8a39da84_6ab2abde-801d-45a3-8ea3-455d0f01c3f4.spold;market for water, decarbonised, at user;GLO;water, decarbonised, at user
17060_cc8e84fb-c2a8-4b90-ac16-6ff59d87a713_cfc90fee-20f0-451a-8e50-a5bd859d3feb.spold;market for water, completely softened, from decarbonised water, at user;GLO;water, completely softened, from decarbonised water, at user
17061_9c90a461-167a-481d-b997-a48a52a0340e_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;PH;irrigation
17062_d58e4ffb-7133-4e28-a0e1-ea393da2a0ea_2f7ff1bc-5e10-4276-b365-af34a3654eb8.spold;market for water, ultrapure;GLO;water, ultrapure
17063_cc26365d-968a-4e23-b4e5-b065463083f2_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;TN;irrigation
17064_bfef1ba5-7547-4d46-9718-2e9a1a971879_cfc90fee-20f0-451a-8e50-a5bd859d3feb.spold;water production, completely softened, from decarbonised water, at user;RER;water, completely softened, from decarbonised water, at user
17065_b5e85f48-39c1-4b88-a9df-dda7d2fb5c9b_360e2eb0-f81c-4e4b-ba6b-c7a690f31275.spold;water production, deionised, from tap water, at user;Europe without Switzerland;water, deionised, from tap water, at user
17066_a8068dc9-06ea-48a6-8510-9f0fdfd0706e_360e2eb0-f81c-4e4b-ba6b-c7a690f31275.spold;water production, deionised, from tap water, at user;CH;water, deionised, from tap water, at user
